iter	Passed	Remaining
455	760	9246
456	761	9242
457	763	9238
458	764	9234
459	766	9229
460	767	9224
461	769	9219
462	770	9215
463	771	9210
464	773	9207
465	775	9205
466	776	9203
467	778	9201
468	779	9197
469	781	9194
470	783	9192
471	784	9188
472	785	9183
473	787	9179
474	789	9177
475	790	9174
476	792	9171
477	793	9168
478	795	9165
479	796	9163
480	798	9159
481	799	9155
482	801	9151
483	802	9147
484	804	9144
485	806	9144
486	807	9144
487	809	9141
488	810	9137
489	812	9134
490	813	9130
491	815	9125
492	816	9123
493	818	9119
494	820	9119
495	821	9117
496	823	9115
497	824	9112
498	826	9110
499	828	9108
500	829	9105
501	831	9103
502	832	9100
503	834	9097
504	836	9098
505	837	9097
506	839	9096
507	841	9094
508	842	9093
509	844	9089
510	845	9086
511	847	9083
512	849	9081
513	850	9081
514	852	9079
515	853	9075
516	855	9072
517	857	9072
518	858	9069
519	860	9067
520	861	9064
521	863	9061
522	865	9061
523	866	9059
524	868	9056
525	870	9054
526	871	9051
527	873	9048
528	874	9045
529	876	9042
530	877	9038
531	879	9036
532	880	9035
533	882	9033
534	884	9031
535	885	9029
536	887	9026
537	888	9023
538	890	9019
539	891	9016
540	893	9014
541	894	9011
542	896	9010
543	898	9010
544	900	9008
545	901	9007
546	903	9005
547	904	9001
548	906	8997
549	907	8994
550	909	8991
551	911	8991
552	912	8989
553	914	8987
554	915	8984
555	917	8983
556	919	8980
557	920	8978
558	922	8976
559	923	8974
560	925	8974
561	927	8973
562	928	8970
563	930	8967
564	931	8964
565	933	8961
566	934	8958
567	936	8957
568	938	8954
569	939	8953
570	941	8952
571	943	8951
572	944	8949
573	946	8945
574	948	8945
575	949	8942
576	951	8940
577	952	8939
578	954	8936
579	956	8937
580	958	8935
581	959	8933
582	961	8930
583	962	8927
584	964	8923
585	965	8919
586	967	8917
587	968	8915
588	970	8915
589	972	8913
590	973	8911
591	975	8908
592	976	8905
593	978	8902
594	979	8901
595	981	8898
596	983	8897
597	984	8897
598	986	8894
599	988	8892
600	989	8889
601	991	8886
602	992	8883
603	994	8881
604	995	8878
605	997	8876
606	998	8875
607	1000	8873
608	1002	8871
609	1003	8868
610	1005	8866
611	1006	8863
612	1008	8860
613	1009	8858
614	1011	8856
615	1013	8855
616	1014	8852
617	1016	8850
618	1017	8847
619	1019	8845
620	1020	8842
621	1022	8840
622	1023	8837
623	1025	8834
624	1026	8831
625	1028	8829
626	1029	8825
627	1031	8823
628	1033	8821
629	1034	8817
630	1035	8814
631	1037	8811
632	1039	8809
633	1040	8806
634	1042	8806
635	1043	8802
636	1045	8798
637	1046	8795
638	1047	8791
639	1049	8788
640	1050	8785
641	1052	8782
642	1053	8778
643	1055	8774
644	1056	8772
645	1058	8773
646	1060	8770
647	1061	8768
648	1063	8766
649	1064	8763
650	1066	8760
651	1067	8757
652	1069	8754
653	1070	8751
654	1072	8750
655	1073	8747
656	1075	8744
657	1076	8740
658	1078	8738
659	1079	8734
660	1081	8731
661	1082	8728
662	1083	8725
663	1085	8721
664	1086	8719
665	1088	8718
666	1090	8715
667	1091	8712
668	1093	8710
669	1094	8708
670	1096	8706
671	1097	8705
672	1099	8702
673	1100	8700
674	1102	8698
675	1104	8697
676	1105	8696
677	1107	8692
678	1108	8689
679	1110	8686
680	1111	8683
681	1113	8680
682	1114	8677
683	1116	8673
684	1117	8670
685	1118	8667
686	1120	8664
687	1121	8661
688	1123	8657
689	1124	8654
690	1125	8651
691	1127	8648
692	1128	8645
693	1130	8641
694	1131	8639
695	1133	8640
696	1135	8637
697	1136	8634
698	1138	8633
699	1140	8631
700	1141	8629
701	1143	8627
702	1144	8624
703	1146	8621
704	1147	8619
705	1149	8616
706	1150	8614
707	1152	8612
708	1153	8609
709	1155	8607
710	1156	8604
711	1158	8602
712	1159	8600
713	1161	8598
714	1163	8600
715	1165	8597
716	1166	8594
717	1167	8592
718	1169	8589
719	1170	8587
720	1172	8584
721	1173	8581
722	1175	8579
723	1176	8576
724	1178	8576
725	1180	8573
726	1181	8572
727	1183	8569
728	1184	8568
729	1186	8566
730	1188	8564
731	1189	8563
732	1191	8561
733	1193	8561
734	1194	8560
735	1196	8557
736	1198	8556
737	1199	8553
738	1201	8551
739	1202	8547
740	1204	8545
741	1205	8542
742	1207	8540
743	1208	8538
744	1210	8535
745	1211	8533
746	1213	8531
747	1214	8529
748	1216	8526
749	1217	8525
750	1219	8523
751	1220	8520
752	1222	8520
753	1224	8520
754	1226	8520
755	1228	8518
756	1229	8516
757	1231	8514
758	1232	8511
759	1234	8509
760	1235	8506
761	1237	8504
762	1239	8504
763	1240	8502
764	1242	8500
765	1243	8499
766	1245	8496
767	1246	8493
768	1248	8491
769	1249	8489
770	1251	8486
771	1252	8484
772	1254	8484
773	1256	8482
774	1257	8479
775	1259	8478
776	1261	8477
777	1262	8474
778	1264	8473
779	1265	8472
780	1267	8471
781	1269	8471
782	1271	8469
783	1272	8467
784	1274	8464
785	1275	8462
786	1277	8461
787	1279	8460
788	1280	8457
789	1282	8455
790	1283	8454
791	1285	8454
792	1287	8454
793	1289	8452
794	1290	8451
795	1292	8449
796	1293	8447
797	1295	8444
798	1297	8443
799	1299	8443
800	1300	8443
801	1302	8441
802	1304	8440
803	1305	8437
804	1307	8436
805	1308	8432
806	1309	8429
807	1311	8427
808	1313	8425
809	1314	8422
810	1316	8420
811	1317	8417
812	1318	8415
813	1320	8412
814	1321	8410
815	1323	8407
816	1324	8404
817	1326	8401
818	1327	8398
819	1329	8397
820	1330	8396
821	1332	8393
822	1334	8391
823	1335	8389
824	1336	8386
825	1338	8384
826	1339	8381
827	1341	8379
828	1342	8376
829	1344	8375
830	1346	8372
831	1347	8370
832	1348	8367
833	1350	8365
834	1352	8363
835	1353	8360
836	1355	8358
837	1356	8356
838	1358	8354
839	1359	8352
840	1361	8352
841	1363	8351
842	1364	8349
843	1366	8348
844	1367	8345
845	1369	8342
846	1371	8341
847	1372	8339
848	1374	8337
849	1375	8336
850	1377	8334
851	1379	8333
852	1380	8332
853	1382	8330
854	1383	8327
855	1385	8326
856	1387	8324
857	1388	8322
858	1390	8321
859	1391	8319
860	1393	8317
861	1394	8314
862	1396	8312
863	1397	8309
864	1399	8308
865	1401	8306
866	1402	8305
867	1404	8305
868	1406	8303
869	1408	8302
870	1409	8301
871	1411	8299
872	1412	8297
873	1414	8295
874	1416	8294
875	1417	8293
876	1419	8292
877	1421	8292
878	1423	8292
879	1424	8290
880	1426	8289
881	1428	8286
882	1429	8284
883	1431	8281
884	1432	8280
885	1434	8279
886	1436	8278
887	1437	8278
888	1439	8276
889	1441	8274
890	1442	8272
891	1444	8270
892	1445	8268
893	1447	8267
894	1449	8266
895	1451	8266
896	1452	8265
897	1454	8263
898	1456	8261
899	1457	8259
900	1459	8257
901	1460	8255
902	1462	8253
903	1463	8252
904	1465	8250
905	1466	8248
906	1468	8245
907	1469	8242
908	1471	8239
909	1472	8237
910	1474	8234
911	1475	8233
912	1477	8233
913	1479	8233
914	1481	8234
915	1483	8233
916	1485	8233
917	1487	8234
918	1489	8235
919	1491	8234
920	1493	8234
921	1494	8233
922	1497	8234
923	1498	8232
924	1500	8232
925	1502	8230
926	1503	8230
927	1505	8228
928	1507	8226
929	1508	8224
930	1510	8222
931	1512	8221
932	1513	8220
933	1515	8218
934	1516	8215
935	1518	8213
936	1519	8211
937	1521	8209
938	1522	8207
939	1524	8205
940	1526	8204
941	1527	8203
942	1529	8202
943	1531	8200
944	1533	8200
945	1534	8198
946	1536	8197
947	1537	8195
948	1539	8193
949	1541	8192
950	1543	8192
951	1544	8190
952	1546	8188
953	1547	8186
954	1549	8184
955	1550	8182
956	1552	8180
957	1553	8178
958	1555	8175
959	1557	8174
960	1558	8172
961	1560	8170
962	1561	8169
963	1563	8166
964	1564	8164
965	1566	8163
966	1568	8161
967	1569	8158
968	1571	8157
969	1573	8157
970	1575	8157
971	1576	8157
972	1578	8156
973	1580	8155
974	1582	8155
975	1584	8154
976	1586	8154
977	1587	8152
978	1589	8151
979	1591	8149
980	1592	8148
981	1594	8147
982	1595	8145
983	1597	8143
984	1599	8141
985	1600	8139
986	1602	8136
987	1603	8134
988	1605	8132
989	1606	8129
990	1608	8129
991	1609	8127
992	1611	8125
993	1613	8124
994	1614	8122
995	1616	8122
996	1618	8120
997	1619	8118
998	1621	8116
999	1622	8114
1000	1624	8112
1001	1626	8111
1002	1627	8109
1003	1629	8107
1004	1630	8105
1005	1632	8103
1006	1634	8103
1007	1636	8102
1008	1637	8100
1009	1639	8098
1010	1640	8096
1011	1642	8093
1012	1643	8091
1013	1645	8090
1014	1647	8090
1015	1648	8088
1016	1650	8087
1017	1652	8085
1018	1653	8083
1019	1655	8081
1020	1656	8079
1021	1658	8076
1022	1659	8073
1023	1661	8072
1024	1662	8071
1025	1664	8068
1026	1665	8066
1027	1667	8064
1028	1669	8063
1029	1670	8061
1030	1672	8059
1031	1673	8057
1032	1675	8055
1033	1676	8053
1034	1678	8052
1035	1680	8050
1036	1681	8048
1037	1683	8047
1038	1685	8045
1039	1686	8043
1040	1688	8041
1041	1689	8039
1042	1691	8037
1043	1692	8036
1044	1694	8034
1045	1695	8032
1046	1697	8029
1047	1698	8027
1048	1700	8025
1049	1701	8023
1050	1703	8021
1051	1704	8018
1052	1706	8015
1053	1708	8016
1054	1710	8015
1055	1711	8013
1056	1712	8010
1057	1714	8007
1058	1715	8005
1059	1717	8003
1060	1718	8001
1061	1720	7998
1062	1721	7997
1063	1723	7995
1064	1725	7993
1065	1726	7991
1066	1728	7989
1067	1729	7987
1068	1731	7986
1069	1732	7984
1070	1734	7982
1071	1735	7980
1072	1737	7978
1073	1739	7977
1074	1740	7975
1075	1742	7973
1076	1744	7971
1077	1745	7969
1078	1746	7967
1079	1748	7964
1080	1749	7962
1081	1751	7959
1082	1752	7957
1083	1754	7956
1084	1755	7954
1085	1757	7952
1086	1758	7950
1087	1760	7947
1088	1761	7945
1089	1763	7943
1090	1764	7941
1091	1766	7938
1092	1767	7937
1093	1769	7935
1094	1771	7933
1095	1772	7931
1096	1774	7929
1097	1775	7926
1098	1776	7923
1099	1778	7921
1100	1779	7919
1101	1781	7917
1102	1782	7914
1103	1784	7912
1104	1785	7910
1105	1787	7908
1106	1788	7905
1107	1790	7903
1108	1791	7901
1109	1793	7899
1110	1794	7896
1111	1795	7894
1112	1797	7893
1113	1799	7891
1114	1800	7890
1115	1802	7889
1116	1804	7887
1117	1805	7885
1118	1807	7883
1119	1808	7881
1120	1810	7879
1121	1811	7876
1122	1813	7875
1123	1814	7873
1124	1816	7871
1125	1817	7868
1126	1819	7866
1127	1820	7864
1128	1822	7862
1129	1823	7860
1130	1825	7857
1131	1826	7855
1132	1828	7854
1133	1830	7852
1134	1831	7850
1135	1832	7848
1136	1834	7846
1137	1836	7844
1138	1837	7842
1139	1838	7839
1140	1840	7837
1141	1841	7834
1142	1843	7832
1143	1844	7830
1144	1846	7828
1145	1847	7826
1146	1849	7824
1147	1850	7821
1148	1852	7819
1149	1853	7816
1150	1854	7814
1151	1856	7812
1152	1858	7811
1153	1859	7810
1154	1861	7808
1155	1862	7806
1156	1864	7803
1157	1865	7802
1158	1867	7800
1159	1869	7798
1160	1870	7795
1161	1871	7793
1162	1873	7792
1163	1875	7790
1164	1876	7789
1165	1878	7787
1166	1879	7785
1167	1881	7782
1168	1882	7780
1169	1884	7777
1170	1885	7775
1171	1886	7773
1172	1888	7770
1173	1890	7770
1174	1891	7769
1175	1893	7767
1176	1895	7765
1177	1896	7763
1178	1897	7760
1179	1899	7758
1180	1900	7756
1181	1902	7753
1182	1903	7751
1183	1905	7750
1184	1907	7749
1185	1908	7746
1186	1910	7744
1187	1911	7742
1188	1913	7742
1189	1915	7740
1190	1916	7738
1191	1918	7736
1192	1919	7735
1193	1921	7733
1194	1923	7732
1195	1924	7729
1196	1925	7728
1197	1927	7725
1198	1928	7723
1199	1930	7722
1200	1932	7720
1201	1933	7718
1202	1935	7717
1203	1937	7716
1204	1938	7715
1205	1940	7712
1206	1941	7710
1207	1943	7708
1208	1944	7706
1209	1946	7704
1210	1947	7701
1211	1949	7699
1212	1951	7699
1213	1952	7698
1214	1954	7697
1215	1955	7695
1216	1957	7693
1217	1959	7692
1218	1960	7690
1219	1962	7688
1220	1963	7685
1221	1965	7685
1222	1967	7683
1223	1968	7681
1224	1970	7679
1225	1971	7678
1226	1973	7676
1227	1974	7674
1228	1976	7672
1229	1977	7670
1230	1979	7669
1231	1981	7667
1232	1982	7665
1233	1984	7662
1234	1985	7660
1235	1987	7658
1236	1988	7657
1237	1990	7656
1238	1991	7654
1239	1993	7652
1240	1995	7651
1241	1997	7650
1242	1998	7648
1243	2000	7647
1244	2001	7644
1245	2003	7642
1246	2004	7640
1247	2006	7639
1248	2007	7637
1249	2009	7635
1250	2010	7633
1251	2012	7631
1252	2013	7629
1253	2015	7627
1254	2016	7625
1255	2018	7623
1256	2019	7621
1257	2021	7619
1258	2022	7617
1259	2024	7615
1260	2026	7615
1261	2028	7613
1262	2029	7611
1263	2030	7609
1264	2032	7607
1265	2033	7605
1266	2035	7603
1267	2036	7601
1268	2038	7599
1269	2040	7598
1270	2041	7596
1271	2043	7594
1272	2044	7592
1273	2046	7590
1274	2047	7588
1275	2049	7586
1276	2050	7584
1277	2052	7582
1278	2053	7580
1279	2055	7579
1280	2057	7578
1281	2058	7576
1282	2060	7574
1283	2061	7572
1284	2063	7569
1285	2064	7567
1286	2065	7565
1287	2067	7563
1288	2068	7560
1289	2070	7559
1290	2071	7557
1291	2073	7555
1292	2074	7553
1293	2076	7551
1294	2078	7550
1295	2079	7548
1296	2081	7546
1297	2082	7543
1298	2084	7542
1299	2085	7541
1300	2087	7539
1301	2089	7538
1302	2090	7536
1303	2092	7534
1304	2093	7532
1305	2095	7530
1306	2096	7528
1307	2098	7527
1308	2099	7525
1309	2101	7524
1310	2103	7522
1311	2104	7521
1312	2106	7519
1313	2107	7517
1314	2109	7514
1315	2110	7512
1316	2112	7510
1317	2113	7508
1318	2115	7507
1319	2116	7505
1320	2118	7503
1321	2120	7502
1322	2121	7500
1323	2123	7499
1324	2124	7497
1325	2126	7495
1326	2127	7493
1327	2129	7490
1328	2131	7489
1329	2132	7488
1330	2134	7486
1331	2135	7484
1332	2137	7483
1333	2138	7481
1334	2140	7479
1335	2141	7477
1336	2143	7475
1337	2144	7473
1338	2146	7472
1339	2148	7470
1340	2149	7468
1341	2151	7467
1342	2153	7466
1343	2154	7464
1344	2156	7462
1345	2158	7461
1346	2159	7460
1347	2161	7458
1348	2162	7456
1349	2164	7455
1350	2165	7453
1351	2167	7451
1352	2169	7450
1353	2170	7448
1354	2172	7447
1355	2174	7445
1356	2175	7445
1357	2177	7444
1358	2179	7442
1359	2180	7440
1360	2182	7438
1361	2183	7436
1362	2185	7434
1363	2186	7432
1364	2188	7429
1365	2189	7428
1366	2191	7427
1367	2193	7425
1368	2194	7423
1369	2196	7421
1370	2197	7419
1371	2199	7418
1372	2200	7416
1373	2202	7414
1374	2203	7413
1375	2205	7412
1376	2207	7410
1377	2208	7408
1378	2210	7407
1379	2212	7405
1380	2213	7403
1381	2215	7402
1382	2216	7400
1383	2218	7399
1384	2220	7398
1385	2221	7397
1386	2223	7395
1387	2225	7393
1388	2226	7391
1389	2228	7389
1390	2229	7387
1391	2231	7385
1392	2232	7383
1393	2234	7382
1394	2235	7380
1395	2237	7379
1396	2239	7377
1397	2240	7376
1398	2242	7374
1399	2243	7372
1400	2245	7370
1401	2246	7368
1402	2248	7366
1403	2249	7365
1404	2252	7365
1405	2253	7364
1406	2255	7362
1407	2256	7360
1408	2258	7359
1409	2260	7357
1410	2261	7356
1411	2263	7354
1412	2265	7352
1413	2266	7351
1414	2268	7349
1415	2270	7348
1416	2271	7346
1417	2273	7345
1418	2274	7344
1419	2276	7341
1420	2278	7340
1421	2279	7338
1422	2294	7378
1423	2295	7377
1424	2297	7374
1425	2298	7373
1426	2300	7371
1427	2301	7369
1428	2303	7367
1429	2304	7365
1430	2306	7363
1431	2307	7361
1432	2309	7360
1433	2310	7358
1434	2312	7356
1435	2313	7353
1436	2315	7351
1437	2316	7349
1438	2318	7348
1439	2319	7345
1440	2321	7343
1441	2322	7341
1442	2324	7340
1443	2325	7338
1444	2327	7336
1445	2328	7334
1446	2330	7333
1447	2331	7330
1448	2333	7328
1449	2334	7326
1450	2336	7324
1451	2337	7322
1452	2339	7321
1453	2341	7319
1454	2342	7317
1455	2344	7315
1456	2345	7313
1457	2347	7312
1458	2348	7309
1459	2350	7308
1460	2351	7306
1461	2353	7303
1462	2354	7302
1463	2356	7300
1464	2357	7298
1465	2359	7296
1466	2360	7295
1467	2362	7293
1468	2364	7291
1469	2365	7289
1470	2367	7287
1471	2368	7287
1472	2370	7285
1473	2372	7283
1474	2373	7282
1475	2375	7280
1476	2376	7278
1477	2378	7276
1478	2379	7274
1479	2381	7273
1480	2382	7271
1481	2384	7270
1482	2386	7268
1483	2388	7267
1484	2389	7265
1485	2391	7263
1486	2392	7262
1487	2394	7260
1488	2395	7258
1489	2397	7256
1490	2398	7254
1491	2400	7253
1492	2402	7251
1493	2403	7249
1494	2405	7247
1495	2406	7245
1496	2407	7243
1497	2409	7241
1498	2410	7238
1499	2412	7236
1500	2413	7234
1501	2415	7233
1502	2416	7231
1503	2418	7229
1504	2420	7227
1505	2421	7226
1506	2423	7225
1507	2425	7224
1508	2427	7223
1509	2429	7223
1510	2432	7225
1511	2434	7226
1512	2436	7226
1513	2438	7224
1514	2440	7223
1515	2442	7222
1516	2443	7221
1517	2445	7221
1518	2447	7220
1519	2449	7220
1520	2451	7219
1521	2453	7217
1522	2454	7215
1523	2456	7214
1524	2457	7212
1525	2459	7211
1526	2461	7210
1527	2463	7209
1528	2464	7207
1529	2466	7206
1530	2468	7204
1531	2469	7203
1532	2471	7201
1533	2472	7199
1534	2474	7198
1535	2476	7197
1536	2477	7195
1537	2479	7193
1538	2480	7191
1539	2482	7189
1540	2484	7187
1541	2485	7186
1542	2487	7184
